-2.7,1.65,0.0
-2.7,1.425,0.0
-2.5,0.975,0.0
-2,0.75,0.0
-2.7,1.65,0.3
-2.7,1.425,0.3
-2.5,0.975,0.3
-2,0.75,0.3
-3,1.65,0.3
-3,1.2,0.3
-2.65,0.7875,0.3
-1.9,0.45,0.3
-3,1.65,0.0
-3,1.2,0.0
-2.65,0.7875,0.0
-1.9,0.45,0.0
-3,1.65,0.0
-3,1.2,0.0
-2.65,0.7875,0.0
-1.9,0.45,0.0
-3,1.65,-0.3
-3,1.2,-0.3
-2.65,0.7875,-0.3
-1.9,0.45,-0.3
-2.7,1.65,-0.3
-2.7,1.425,-0.3
-2.5,0.975,-0.3
-2,0.75,-0.3
-2.7,1.65,0.0
-2.7,1.425,0.0
-2.5,0.975,0.0
-2,0.75,0.0
1.7,1.275,0.0
2.6,1.275,0.0
2.3,1.95,0.0
2.7,2.25,0.0
1.7,1.275,0.66
2.6,1.275,0.66
2.3,1.95,0.25
2.7,2.25,0.25
1.7,0.45,0.66
3.1,0.675,0.66
2.4,1.875,0.25
3.3,2.25,0.25
1.7,0.45,0.0
3.1,0.675,0.0
2.4,1.875,0.0
3.3,2.25,0.0
1.7,0.45,0.0
3.1,0.675,0.0
2.4,1.875,0.0
3.3,2.25,0.0
1.7,0.45,-0.66
3.1,0.675,-0.66
2.4,1.875,-0.25
3.3,2.25,-0.25
1.7,1.275,-0.66
2.6,1.275,-0.66
2.3,1.95,-0.25
2.7,2.25,-0.25
1.7,1.275,0.0
2.6,1.275,0.0
2.3,1.95,0.0
2.7,2.25,0.0
2.7,2.25,0.0
2.8,2.325,0.0
2.9,2.325,0.0
2.8,2.25,0.0
2.7,2.25,0.25
2.8,2.325,0.25
2.9,2.325,0.15
2.8,2.25,0.15
3.3,2.25,0.25
3.525,2.34375,0.25
3.45,2.3625,0.15
3.2,2.25,0.15
3.3,2.25,0.0
3.525,2.34375,0.0
3.45,2.3625,0.0
3.2,2.25,0.0
3.3,2.25,0.0
3.525,2.34375,0.0
3.45,2.3625,0.0
3.2,2.25,0.0
3.3,2.25,-0.25
3.525,2.34375,-0.25
3.45,2.3625,-0.15
3.2,2.25,-0.15
2.7,2.25,-0.25
2.8,2.325,-0.25
2.9,2.325,-0.15
2.8,2.25,-0.15
2.7,2.25,0.0
2.8,2.325,0.0
2.9,2.325,0.0
2.8,2.25,0.0
0.01,3,0.0
0.8,3,0.0
0.0,2.7,0.0
0.2,2.55,0.0
0.0,3,0.01
0.8,3,0.45
0.0,2.7,0.0
0.2,2.55,0.112
0.01,3,0.0
0.45,3,0.8
0.0,2.7,0.0
0.112,2.55,0.2
0.0,3,0.01
0.0,3,0.8
0.0,2.7,0.0
0.0,2.55,0.2
0.0,3,0.01
0.0,3,0.8
0.0,2.7,0.0
0.0,2.55,0.2
-0.01,3,0.0
-0.45,3,0.8
0.0,2.7,0.0
-0.112,2.55,0.2
0.0,3,0.01
-0.8,3,0.45
0.0,2.7,0.0
-0.2,2.55,0.112
-0.01,3,0.0
-0.8,3,0.0
0.0,2.7,0.0
-0.2,2.55,0.0
-0.01,3,0.0
-0.8,3,0.0
0.0,2.7,0.0
-0.2,2.55,0.0
0.0,3,-0.01
-0.8,3,-0.45
0.0,2.7,0.0
-0.2,2.55,-0.112
-0.01,3,0.0
-0.45,3,-0.8
0.0,2.7,0.0
-0.112,2.55,-0.2
0.0,3,-0.01
0.0,3,-0.8
0.0,2.7,0.0
0.0,2.55,-0.2
0.0,3,-0.01
0.0,3,-0.8
0.0,2.7,0.0
